1;Zielona mila;1999
2;Forrest Gump;1994
3;Matrix;1999
4;Skazani na Shawshank;1994
5;Leon zawodowiec;1994
6;Shrek;2001
7;Avatar;2009
8;Gladiator;2000
9;Requiem dla snu;2000
10;Titanic;1997
11;Kac Vegas;2009
12;Piraci z Karaibów: Klątwa Czarnej Perły;2003
13;Szósty zmysł;1999
14;Władca Pierścieni: Drużyna Pierścienia;2001
15;Slumdog. Milioner z ulicy;2008
16;Seksmisja;1983
17;Szeregowiec Ryan;1998
18;Milczenie owiec;1991
19;Kod da Vinci;2006
20;Cast Away - poza światem;2000
21;Dzień świra;2002
22;Pulp Fiction;1994
23;Podziemny krąg;1999
24;Bękarty wojny;2009
25;Siedem;1995
26;American Beauty;1999
27;Pianista;2002
28;Truman Show;1998
29;Incepcja;2010
30;Efekt motyla;2004
31;Bruce Wszechmogący;2003
32;Ojciec chrzestny;1972
33;Wyspa tajemnic;2010
34;Król Lew;1994
35;Mroczny Rycerz;2008
36;Siedem dusz;2008
37;Epoka lodowcowa;2002
38;Ciekawy przypadek Benjamina Buttona;2008
39;Władca Pierścieni: Powrót króla;2003
40;Nietykalni;2011
41;Piękny umysł;2001
42;Jestem legendą;2007
43;Władca Pierścieni: Dwie wieże;2002
44;Mr. & Mrs. Smith;2005
45;Adwokat diabła;1997
46;Edward Nożycoręki;1990
47;Hooligans;2005
48;Sherlock Holmes;2009
49;Kiler;1997
50;American Pie;1999
51;Gran Torino;2008
52;Lśnienie;1980
53;300;2006
54;Kill Bill;2003
55;Piraci z Karaibów: Skrzynia umarlaka;2006
56;Braveheart - Waleczne Serce;1995
57;Kevin sam w domu;1990
58;Madagaskar;2005
59;Hannibal;2001
60;K-PAX;2001
61;Lejdis;2008
62;Diabeł ubiera się u Prady;2006
63;Powrót do przyszłości;1985
64;Park Jurajski;1993
65;Spider-Man;2002
66;Chłopaki nie płaczą;2000
67;Miś;1980
68;Piąty element;1997
69;Pan życia i śmierci;2005
70;Zapach kobiety;1992
71;Ace Ventura: Psi detektyw;1994
72;Piraci z Karaibów: Na krańcu świata;2007
73;Troja;2004
74;Alicja w Krainie Czarów;2010
75;Batman - Początek;2005
76;Testosteron;2007
77;Lista Schindlera;1993
78;Harry Potter i Kamień Filozoficzny;2001
79;Lot nad kukułczym gniazdem;1975
80;Charlie i fabryka czekolady;2005
81;Django;2012
82;Głupi i głupszy;1994
83;Pachnidło: Historia mordercy;2006
84;Wywiad z wampirem;1994
85;Harry Potter i Czara Ognia;2005
86;Helikopter w ogniu;2001
87;Filadelfia;1993
88;Harry Potter i więzień Azkabanu;2004
89;Transformers;2007
90;Zmierzch;2008
91;Hobbit: Niezwykła podróż;2012
92;Prestiż;2006
93;Co gryzie Gilberta Grape'a;1993
94;Maska;1994
